char_count,word_count,punct_density,cap_ratio,rating,label
227,44,0.030837004405286344,0.022026431718061675,5.0,1
77,14,0.05194805194805195,0.03896103896103896,4.0,0
116,20,0.02586206896551724,0.04310344827586207,1.0,0
70,15,0.02857142857142857,0.02857142857142857,5.0,1
229,46,0.043668122270742356,0.043668122270742356,5.0,0
364,74,0.027472527472527472,0.03021978021978022,1.0,0
161,32,0.024844720496894408,0.031055900621118012,5.0,1
104,17,0.019230769230769232,0.019230769230769232,5.0,0
135,26,0.022222222222222223,0.037037037037037035,5.0,1
211,45,0.018957345971563982,0.014218009478672985,3.0,0
96,19,0.03125,0.041666666666666664,1.0,0
244,47,0.03278688524590164,0.020491803278688523,4.0,0
55,10,0.07272727272727272,0.03636363636363636,5.0,1
110,18,0.045454545454545456,0.02727272727272727,2.0,0
669,128,0.03886397608370702,0.029895366218236172,5.0,1
519,98,0.025048169556840076,0.030828516377649325,5.0,1
684,137,0.03216374269005848,0.023391812865497075,5.0,0
748,127,0.03609625668449198,0.02807486631016043,5.0,1
111,25,0.018018018018018018,0.04504504504504504,5.0,0
1449,273,0.022774327122153208,0.013802622498274672,5.0,0
434,79,0.03686635944700461,0.02304147465437788,5.0,0
151,28,0.026490066225165563,0.033112582781456956,5.0,1
165,33,0.04242424242424243,0.024242424242424242,5.0,0
1456,250,0.025412087912087912,0.01510989010989011,2.0,1
63,10,0.015873015873015872,0.0,5.0,1
327,66,0.021406727828746176,0.027522935779816515,5.0,1
213,41,0.018779342723004695,0.014084507042253521,4.0,1
1158,234,0.022452504317789293,0.024179620034542316,5.0,1
114,19,0.017543859649122806,0.008771929824561403,5.0,1
159,28,0.03773584905660377,0.025157232704402517,5.0,1
80,14,0.025,0.025,5.0,0
114,22,0.017543859649122806,0.02631578947368421,5.0,0
78,17,0.02564102564102564,0.01282051282051282,5.0,1
193,43,0.02072538860103627,0.02072538860103627,5.0,1
348,74,0.02586206896551724,0.031609195402298854,5.0,0
82,17,0.024390243902439025,0.024390243902439025,5.0,0
929,185,0.02583423035522067,0.017222820236813777,5.0,0
355,71,0.028169014084507043,0.011267605633802818,5.0,1
228,44,0.021929824561403508,0.021929824561403508,5.0,1
57,11,0.05263157894736842,0.03508771929824561,5.0,1
81,15,0.037037037037037035,0.012345679012345678,5.0,0
126,20,0.031746031746031744,0.015873015873015872,5.0,0
857,162,0.043173862310385065,0.021003500583430573,2.0,1
88,17,0.03409090909090909,0.022727272727272728,5.0,0
424,81,0.01650943396226415,0.018867924528301886,5.0,0
164,37,0.018292682926829267,0.036585365853658534,4.0,0
130,26,0.06153846153846154,0.023076923076923078,3.0,0
986,200,0.02535496957403651,0.034482758620689655,3.0,0
247,50,0.05263157894736842,0.024291497975708502,5.0,1
1011,220,0.027695351137487636,0.02373887240356083,4.0,0
930,186,0.026881720430107527,0.02043010752688172,5.0,0
311,62,0.028938906752411574,0.02572347266881029,5.0,1
114,24,0.02631578947368421,0.07894736842105263,5.0,1
688,142,0.027616279069767442,0.023255813953488372,5.0,0
89,17,0.033707865168539325,0.033707865168539325,5.0,0
78,16,0.02564102564102564,0.02564102564102564,5.0,0
46,10,0.10869565217391304,0.0,4.0,0
87,16,0.034482758620689655,0.022988505747126436,5.0,1
563,111,0.021314387211367674,0.023090586145648313,5.0,1
84,19,0.023809523809523808,0.011904761904761904,3.0,0
75,10,0.02666666666666667,0.04,1.0,1
325,70,0.05846153846153846,0.03076923076923077,2.0,1
98,22,0.030612244897959183,0.02040816326530612,3.0,0
146,28,0.0136986301369863,0.0273972602739726,5.0,0
1213,223,0.036273701566364384,0.028854080791426217,4.0,1
81,17,0.024691358024691357,0.012345679012345678,1.0,0
1418,263,0.023977433004231313,0.15867418899858957,5.0,1
129,22,0.015503875968992248,0.031007751937984496,4.0,1
1178,214,0.02801358234295416,0.015280135823429542,4.0,1
1363,267,0.027879677182685254,0.02641232575201761,5.0,0
154,35,0.032467532467532464,0.025974025974025976,4.0,0
164,30,0.03048780487804878,0.042682926829268296,5.0,1
69,17,0.043478260869565216,0.028985507246376812,1.0,0
168,34,0.017857142857142856,0.017857142857142856,4.0,0
76,16,0.039473684210526314,0.02631578947368421,5.0,1
127,21,0.023622047244094488,0.023622047244094488,5.0,1
484,97,0.03925619834710744,0.028925619834710745,3.0,0
539,101,0.022263450834879406,0.00927643784786642,5.0,1
84,18,0.011904761904761904,0.023809523809523808,5.0,0
305,62,0.036065573770491806,0.03278688524590164,5.0,0
49,11,0.02040816326530612,0.02040816326530612,5.0,1
346,69,0.023121387283236993,0.017341040462427744,5.0,1
534,106,0.02247191011235955,0.0299625468164794,4.0,1
207,46,0.033816425120772944,0.01932367149758454,5.0,0
103,19,0.04854368932038835,0.04854368932038835,5.0,0
149,29,0.040268456375838924,0.020134228187919462,4.0,1
98,19,0.02040816326530612,0.01020408163265306,5.0,0
111,21,0.04504504504504504,0.02702702702702703,5.0,1
467,97,0.017130620985010708,0.017130620985010708,5.0,0
94,20,0.0,0.02127659574468085,3.0,0
119,26,0.03361344537815126,0.03361344537815126,5.0,1
233,40,0.02575107296137339,0.017167381974248927,5.0,0
561,103,0.030303030303030304,0.0285204991087344,5.0,1
660,121,0.031818181818181815,0.025757575757575757,5.0,1
108,17,0.018518518518518517,0.018518518518518517,5.0,0
513,100,0.017543859649122806,0.025341130604288498,5.0,1
1151,207,0.018245004344048653,0.020851433536055605,5.0,0
85,16,0.07058823529411765,0.047058823529411764,4.0,0
213,43,0.018779342723004695,0.018779342723004695,5.0,1
164,34,0.03048780487804878,0.036585365853658534,2.0,1
90,16,0.03333333333333333,0.03333333333333333,5.0,0
122,23,0.00819672131147541,0.02459016393442623,5.0,0
234,45,0.017094017094017096,0.021367521367521368,5.0,0
345,61,0.04927536231884058,0.057971014492753624,5.0,1
457,104,0.0175054704595186,0.0175054704595186,4.0,0
74,15,0.05405405405405406,0.02702702702702703,4.0,0
113,21,0.017699115044247787,0.035398230088495575,5.0,1
117,23,0.02564102564102564,0.017094017094017096,5.0,0
177,35,0.022598870056497175,0.02824858757062147,5.0,0
51,12,0.0196078431372549,0.0196078431372549,5.0,1
213,44,0.028169014084507043,0.028169014084507043,4.0,0
96,21,0.010416666666666666,0.020833333333333332,5.0,0
1793,305,0.02509760178471835,0.040156162855549356,5.0,1
1370,272,0.031386861313868614,0.02846715328467153,4.0,0
146,31,0.02054794520547945,0.02054794520547945,3.0,1
139,27,0.014388489208633094,0.014388489208633094,4.0,1
73,16,0.0410958904109589,0.0273972602739726,5.0,0
91,12,0.0,0.01098901098901099,5.0,1
105,17,0.01904761904761905,0.01904761904761905,5.0,0
1074,248,0.01675977653631285,0.020484171322160148,5.0,0
506,108,0.021739130434782608,0.021739130434782608,5.0,0
356,68,0.033707865168539325,0.025280898876404494,1.0,1
91,18,0.01098901098901099,0.03296703296703297,5.0,0
588,106,0.05272108843537415,0.027210884353741496,3.0,0
610,121,0.03278688524590164,0.014754098360655738,5.0,1
405,78,0.056790123456790124,0.019753086419753086,5.0,1
1884,307,0.03662420382165605,0.024946921443736732,3.0,1
235,50,0.01702127659574468,0.02127659574468085,1.0,0
59,12,0.05084745762711865,0.0,4.0,0
208,39,0.03365384615384615,0.03365384615384615,5.0,0
265,55,0.011320754716981131,0.011320754716981131,5.0,1
134,23,0.022388059701492536,0.014925373134328358,5.0,0
87,19,0.034482758620689655,0.022988505747126436,5.0,0
202,35,0.054455445544554455,0.0297029702970297,1.0,1
1110,218,0.02252252252252252,0.023423423423423424,3.0,0
97,21,0.020618556701030927,0.041237113402061855,3.0,0
82,17,0.024390243902439025,0.024390243902439025,4.0,1
178,31,0.03932584269662921,0.028089887640449437,1.0,0
116,23,0.05172413793103448,0.017241379310344827,1.0,0
272,47,0.025735294117647058,0.03308823529411765,5.0,1
659,134,0.021244309559939303,0.01669195751138088,4.0,1
145,26,0.020689655172413793,0.020689655172413793,5.0,1
81,17,0.012345679012345678,0.024691358024691357,5.0,0
161,28,0.018633540372670808,0.018633540372670808,3.0,1
179,35,0.0223463687150838,0.00558659217877095,3.0,1
1296,255,0.02854938271604938,0.03009259259259259,5.0,0
228,45,0.03508771929824561,0.02631578947368421,4.0,1
109,19,0.027522935779816515,0.009174311926605505,2.0,1
330,56,0.030303030303030304,0.01818181818181818,5.0,1
282,52,0.014184397163120567,0.02127659574468085,5.0,1
251,46,0.02390438247011952,0.0199203187250996,5.0,1
98,18,0.0,0.0,5.0,1
307,57,0.029315960912052116,0.026058631921824105,3.0,1
274,55,0.051094890510948905,0.0364963503649635,4.0,0
1336,271,0.029940119760479042,0.02619760479041916,5.0,0
111,22,0.018018018018018018,0.04504504504504504,2.0,1
327,66,0.04892966360856269,0.03363914373088685,3.0,0
1239,260,0.025020177562550445,0.03389830508474576,5.0,0
526,101,0.030418250950570342,0.011406844106463879,3.0,1
401,71,0.02493765586034913,0.03740648379052369,5.0,1
548,107,0.029197080291970802,0.020072992700729927,3.0,0
134,27,0.014925373134328358,0.014925373134328358,3.0,0
1633,314,0.017146356399265157,0.014084507042253521,2.0,1
162,32,0.024691358024691357,0.018518518518518517,5.0,1
92,17,0.021739130434782608,0.021739130434782608,4.0,1
792,147,0.017676767676767676,0.020202020202020204,4.0,1
1055,212,0.023696682464454975,0.017061611374407582,5.0,0
756,160,0.03835978835978836,0.09391534391534391,3.0,0
