char_count,word_count,punct_density,cap_ratio,rating,category,label
207,41,0.014423076923076924,0.0,4.0,Kindle_Store_5,1
111,22,0.008928571428571428,0.0,3.0,Books_5,0
132,25,0.03759398496240601,0.0,5.0,Clothing_Shoes_and_Jewelry_5,0
80,16,0.024691358024691357,0.0,5.0,Books_5,1
354,66,0.014084507042253521,0.0,1.0,Movies_and_TV_5,0
477,89,0.01882845188284519,0.0,5.0,Movies_and_TV_5,0
138,28,0.02877697841726619,0.0,5.0,Clothing_Shoes_and_Jewelry_5,1
101,20,0.029411764705882353,0.0,2.0,Clothing_Shoes_and_Jewelry_5,0
111,21,0.03571428571428571,0.0,5.0,Clothing_Shoes_and_Jewelry_5,1
307,51,0.025974025974025976,0.0,4.0,Books_5,0
130,26,0.022900763358778626,0.0,5.0,Home_and_Kitchen_5,0
288,56,0.02422145328719723,0.0,5.0,Books_5,0
81,17,0.012195121951219513,0.0,5.0,Electronics_5,1
138,26,0.02158273381294964,0.0,5.0,Tools_and_Home_Improvement_5,0
523,109,0.019083969465648856,0.0,4.0,Pet_Supplies_5,1
380,85,0.03412073490813648,0.0,5.0,Home_and_Kitchen_5,1
863,165,0.032407407407407406,0.0,4.0,Home_and_Kitchen_5,0
469,97,0.0425531914893617,0.0,2.0,Toys_and_Games_5,1
153,27,0.025974025974025976,0.0,5.0,Movies_and_TV_5,0
1739,321,0.022988505747126436,0.0,4.0,Movies_and_TV_5,0
596,106,0.031825795644891124,0.0,4.0,Pet_Supplies_5,0
89,15,0.022222222222222223,0.0,5.0,Kindle_Store_5,1
229,45,0.06956521739130435,0.0,3.0,Clothing_Shoes_and_Jewelry_5,0
1005,197,0.020874751491053677,0.0,5.0,Movies_and_TV_5,1
80,19,0.012345679012345678,0.0,1.0,Kindle_Store_5,1
217,46,0.06880733944954129,0.0,5.0,Sports_and_Outdoors_5,1
186,39,0.0106951871657754,0.0,3.0,Home_and_Kitchen_5,1
974,190,0.031794871794871796,0.0,5.0,Kindle_Store_5,1
88,16,0.033707865168539325,0.0,3.0,Clothing_Shoes_and_Jewelry_5,1
100,21,0.019801980198019802,0.0,5.0,Tools_and_Home_Improvement_5,1
83,17,0.023809523809523808,0.0,4.0,Pet_Supplies_5,0
136,25,0.014598540145985401,0.0,5.0,Toys_and_Games_5,0
79,16,0.025,0.0,5.0,Home_and_Kitchen_5,1
170,35,0.03508771929824561,0.0,4.0,Pet_Supplies_5,1
525,89,0.03612167300380228,0.0,5.0,Movies_and_TV_5,0
66,12,0.014925373134328358,0.0,5.0,Pet_Supplies_5,0
1299,230,0.016923076923076923,0.0,5.0,Movies_and_TV_5,0
282,63,0.024734982332155476,0.0,5.0,Clothing_Shoes_and_Jewelry_5,1
164,36,0.024242424242424242,0.0,5.0,Tools_and_Home_Improvement_5,1
78,17,0.0379746835443038,0.0,1.0,Tools_and_Home_Improvement_5,1
76,13,0.025974025974025976,0.0,5.0,Tools_and_Home_Improvement_5,0
